benchmark,track,split,task_uid,dataset_config,domain,freq,freq_bucket,model,model_role,architecture_family,model_revision,contamination_status,native_metric,native_score,relative_to_naive,task_rank,regret_vs_best_deployable_pct,best_deployable_model,context_mode,actual_context_min,actual_context_median,actual_context_max,future_covariates_used,multivariate_mode,n_windows,n_origins,origin_aggregate,origin_reconciliation_gap,inference_seconds,peak_memory_mb,status,known_columns_used,known_columns_skipped,n_targets_x,notes,extra_metrics,summary,run_at_utc,horizon,num_windows,seasonality,median_length,n_series,n_targets_y,n_known_cov,n_past_cov,is_multivariate,has_known_cov,has_past_cov,horizon_to_median_length
fev-bench,U,confirmation,fevbench::redset_1H::redset_1H,redset_1H,cloud,H,hourly,seasonal-naive,baseline,baseline,,NOT_APPLICABLE,SQL,2.1201754052173665,1.0,5.0,63.01486222672994,chronos-2,native_default,120,2028,2162,False,none,10,1380,2.120175403313045,8.981905858456647e-10,0.0881799999915529,,OK,[],[],1,"{""estimator"": ""seasonal_naive"", ""seasonality"": 24}","{""MASE"": 1.68261943846924, ""WAPE"": 0.33008187779158554, ""WQL"": 0.434742292456953}","{""model_name"": ""seasonal-naive"", ""dataset_path"": ""autogluon/fev_datasets"", ""dataset_config"": ""redset_1H"", ""horizon"": 24, ""num_windows"": 10, ""initial_cutoff"": -240, ""window_step_size"": 24, ""min_context_length"": 1, ""seasonality"": 24, ""eval_metric"": ""SQL"", ""id_column"": ""id"", ""timestamp_column"": ""timestamp"", ""target"": ""target"", ""task_name"": ""redset_1H"", ""test_error"": 2.1201754052173665, ""inference_time_s"": 0.0881799999915529, ""num_forecasts"": 1380, ""dataset_fingerprint"": ""e8e85a6b0b054d1f"", ""trained_on_this_dataset"": false, ""fev_version"": ""0.10.0"", ""SQL"": 2.1201754052173665, ""MASE"": 1.68261943846924, ""WAPE"": 0.33008187779158554, ""WQL"": 0.434742292456953}",2026-09-07T03:08:09.488292+00:00,24,10,24,2160,138,1,0,0,False,False,False,0.011111
fev-bench,U,confirmation,fevbench::redset_1H::redset_1H,redset_1H,cloud,H,hourly,timesfm-3.0,primary,transformer_patch_variate,43046b85ec22d584a13f8098c2ed39c889e129c2,CLEAN_BY_OFFICIAL_EXCLUSION,SQL,1.3329766120804911,0.6287105344210097,2.0,2.4891611491346337,chronos-2,native_default,120,2028,2162,False,none,10,1380,1.3329765934707138,1.3961068113341803e-08,33.39285870001186,1397.7626953125,OK,[],[],1,"{""entry_point"": ""TimesFM3Evaluator.predict_batch"", ""per_core_batch_size"": 32, ""univariate_flag"": true}","{""MASE"": 1.463837453914734, ""WAPE"": 0.21865382545249115, ""WQL"": 0.18322342078050508}","{""model_name"": ""timesfm-3.0"", ""dataset_path"": ""autogluon/fev_datasets"", ""dataset_config"": ""redset_1H"", ""horizon"": 24, ""num_windows"": 10, ""initial_cutoff"": -240, ""window_step_size"": 24, ""min_context_length"": 1, ""seasonality"": 24, ""eval_metric"": ""SQL"", ""id_column"": ""id"", ""timestamp_column"": ""timestamp"", ""target"": ""target"", ""task_name"": ""redset_1H"", ""test_error"": 1.3329766120804911, ""inference_time_s"": 33.39285870001186, ""num_forecasts"": 1380, ""dataset_fingerprint"": ""e8e85a6b0b054d1f"", ""trained_on_this_dataset"": false, ""fev_version"": ""0.10.0"", ""SQL"": 1.3329766120804911, ""MASE"": 1.463837453914734, ""WAPE"": 0.21865382545249115, ""WQL"": 0.18322342078050508}",2026-09-07T03:04:53.943570+00:00,24,10,24,2160,138,1,0,0,False,False,False,0.011111
fev-bench,U,confirmation,fevbench::redset_1H::redset_1H,redset_1H,cloud,H,hourly,tirex-2,primary,recurrent_xlstm,05e5b26db52bfb256f1ae1bdf785589850482de3,OVERLAP_RISK_UNKNOWN,SQL,1.4545047888383507,0.6860304035501396,4.0,11.833151718073944,chronos-2,native_default,120,2028,2162,False,none,10,1380,1.4545047698515283,1.305380531043165e-08,5.909384200000204,801.37353515625,OK,[],[],1,"{""entry_point"": ""tirex2.ForecastModel.forecast"", ""batch_size"": 256, ""native_pytorch_kernels"": true, ""point_forecast"": ""median quantile (model emits no separate mean)""}","{""MASE"": 1.6066477051564427, ""WAPE"": 0.22624128066464894, ""WQL"": 0.18917036182520905}","{""model_name"": ""tirex-2"", ""dataset_path"": ""autogluon/fev_datasets"", ""dataset_config"": ""redset_1H"", ""horizon"": 24, ""num_windows"": 10, ""initial_cutoff"": -240, ""window_step_size"": 24, ""min_context_length"": 1, ""seasonality"": 24, ""eval_metric"": ""SQL"", ""id_column"": ""id"", ""timestamp_column"": ""timestamp"", ""target"": ""target"", ""task_name"": ""redset_1H"", ""test_error"": 1.4545047888383507, ""inference_time_s"": 5.909384200000204, ""num_forecasts"": 1380, ""dataset_fingerprint"": ""e8e85a6b0b054d1f"", ""trained_on_this_dataset"": false, ""fev_version"": ""0.10.0"", ""SQL"": 1.4545047888383507, ""MASE"": 1.6066477051564427, ""WAPE"": 0.22624128066464894, ""WQL"": 0.18917036182520905}",2026-09-07T02:58:27.125146+00:00,24,10,24,2160,138,1,0,0,False,False,False,0.011111
fev-bench,U,discovery,fevbench::ETT_1D::ETT_1D,ETT_1D,energy,D,daily_or_coarser,chronos-2,primary,transformer_encoder,29ec3766d36d6f73f0696f85560a422f50e8498c,OVERLAP_RISK_UNKNOWN,SQL,1.108987734711342,0.8078024924709787,1.0,0.0,chronos-2,native_default,164,430,696,False,none,20,40,1.1089877225458622,1.0969895657025801e-08,0.49025230002007447,490.43310546875,OK,,,7,"{""entry_point"": ""Chronos2Pipeline.predict_quantiles"", ""batch_size"": 256, ""default_context_length"": 2048}","{""MASE"": 1.312458953008704, ""WAPE"": 0.3147173674006631, ""WQL"": 0.25572754373791085}","{""model_name"": ""chronos-2"", ""dataset_path"": ""autogluon/fev_datasets"", ""dataset_config"": ""ETT_1D"", ""horizon"": 28, ""num_windows"": 20, ""initial_cutoff"": -560, ""window_step_size"": 28, ""min_context_length"": 1, ""seasonality"": 7, ""eval_metric"": ""SQL"", ""id_column"": ""id"", ""timestamp_column"": ""timestamp"", ""task_name"": ""ETT_1D"", ""test_error"": 1.108987734711342, ""inference_time_s"": 0.49025230002007447, ""num_forecasts"": 280, ""dataset_fingerprint"": ""09165729d889736c"", ""trained_on_this_dataset"": false, ""fev_version"": ""0.10.0"", ""SQL"": 1.108987734711342, ""MASE"": 1.312458953008704, ""WAPE"": 0.3147173674006631, ""WQL"": 0.25572754373791085}",2026-09-07T02:02:03.819197+00:00,28,20,7,724,2,7,0,0,True,False,False,0.038674
fev-bench,U,discovery,fevbench::ETT_1D::ETT_1D,ETT_1D,energy,D,daily_or_coarser,chronos-2-synth,diagnostic,transformer_encoder,3607918a9fd027d5c465d8213e46b98e2c041cea,SYNTH_ONLY_DIAGNOSTIC,SQL,1.148463587412412,0.8365572669434321,4.0,3.5596293327216357,chronos-2,native_default,164,430,696,False,none,20,40,1.1484635956585407,7.180139413358869e-09,1.3888881001039408,490.49853515625,OK,,,7,"{""entry_point"": ""Chronos2Pipeline.predict_quantiles"", ""batch_size"": 256, ""default_context_length"": 2048}","{""MASE"": 1.3766851561972673, ""WAPE"": 0.33469562844654566, ""WQL"": 0.2722883340177985}","{""model_name"": ""chronos-2-synth"", ""dataset_path"": ""autogluon/fev_datasets"", ""dataset_config"": ""ETT_1D"", ""horizon"": 28, ""num_windows"": 20, ""initial_cutoff"": -560, ""window_step_size"": 28, ""min_context_length"": 1, ""seasonality"": 7, ""eval_metric"": ""SQL"", ""id_column"": ""id"", ""timestamp_column"": ""timestamp"", ""task_name"": ""ETT_1D"", ""test_error"": 1.148463587412412, ""inference_time_s"": 1.3888881001039408, ""num_forecasts"": 280, ""dataset_fingerprint"": ""09165729d889736c"", ""trained_on_this_dataset"": false, ""fev_version"": ""0.10.0"", ""SQL"": 1.148463587412412, ""MASE"": 1.3766851561972673, ""WAPE"": 0.33469562844654566, ""WQL"": 0.2722883340177985}",2026-09-07T02:21:52.283977+00:00,28,20,7,724,2,7,0,0,True,False,False,0.038674
fev-bench,U,discovery,fevbench::ETT_1D::ETT_1D,ETT_1D,energy,D,daily_or_coarser,linear-ar-specialist,baseline,baseline,,NOT_APPLICABLE,SQL,1.36028246036538,0.9908491568968757,5.0,22.65982912060317,chronos-2,native_default,164,430,696,False,none,20,40,1.3602824702858924,7.292979730760859e-09,0.06270429998403415,,OK,,,7,"{""estimator"": ""linear_ar_specialist"", ""seasonality"": 7, ""ridge_alpha"": 1.0, ""fitted_on"": ""visible history of each series only""}","{""MASE"": 1.5409453124507386, ""WAPE"": 0.37755740670171856, ""WQL"": 0.3433084501111245}","{""model_name"": ""linear-ar-specialist"", ""dataset_path"": ""autogluon/fev_datasets"", ""dataset_config"": ""ETT_1D"", ""horizon"": 28, ""num_windows"": 20, ""initial_cutoff"": -560, ""window_step_size"": 28, ""min_context_length"": 1, ""seasonality"": 7, ""eval_metric"": ""SQL"", ""id_column"": ""id"", ""timestamp_column"": ""timestamp"", ""task_name"": ""ETT_1D"", ""test_error"": 1.36028246036538, ""inference_time_s"": 0.06270429998403415, ""num_forecasts"": 280, ""dataset_fingerprint"": ""09165729d889736c"", ""trained_on_this_dataset"": true, ""fev_version"": ""0.10.0"", ""SQL"": 1.36028246036538, ""MASE"": 1.5409453124507386, ""WAPE"": 0.37755740670171856, ""WQL"": 0.3433084501111245}",2026-09-07T02:27:24.020488+00:00,28,20,7,724,2,7,0,0,True,False,False,0.038674
fev-bench,U,discovery,fevbench::ETT_1D::ETT_1D,ETT_1D,energy,D,daily_or_coarser,seasonal-naive,baseline,baseline,,NOT_APPLICABLE,SQL,1.372845150946577,1.0,6.0,23.792636110976876,chronos-2,native_default,164,430,696,False,none,20,40,1.3728451520204543,7.822274847519069e-10,0.020465800014790148,,OK,,,7,"{""estimator"": ""seasonal_naive"", ""seasonality"": 7}","{""MASE"": 1.491546976879216, ""WAPE"": 0.3566862672438745, ""WQL"": 0.36420357454985824}","{""model_name"": ""seasonal-naive"", ""dataset_path"": ""autogluon/fev_datasets"", ""dataset_config"": ""ETT_1D"", ""horizon"": 28, ""num_windows"": 20, ""initial_cutoff"": -560, ""window_step_size"": 28, ""min_context_length"": 1, ""seasonality"": 7, ""eval_metric"": ""SQL"", ""id_column"": ""id"", ""timestamp_column"": ""timestamp"", ""task_name"": ""ETT_1D"", ""test_error"": 1.372845150946577, ""inference_time_s"": 0.020465800014790148, ""num_forecasts"": 280, ""dataset_fingerprint"": ""09165729d889736c"", ""trained_on_this_dataset"": false, ""fev_version"": ""0.10.0"", ""SQL"": 1.372845150946577, ""MASE"": 1.491546976879216, ""WAPE"": 0.3566862672438745, ""WQL"": 0.36420357454985824}",2026-09-07T02:24:14.210645+00:00,28,20,7,724,2,7,0,0,True,False,False,0.038674
fev-bench,U,discovery,fevbench::ETT_1D::ETT_1D,ETT_1D,energy,D,daily_or_coarser,timesfm-3.0,primary,transformer_patch_variate,43046b85ec22d584a13f8098c2ed39c889e129c2,CLEAN_BY_OFFICIAL_EXCLUSION,SQL,1.12167625240498,0.8170449898384998,2.0,1.1441531133742142,chronos-2,native_default,164,430,696,False,none,20,40,1.1216762527823447,3.364293442613097e-10,3.9937944999837782,1309.40869140625,OK,,,7,"{""entry_point"": ""TimesFM3Evaluator.predict_batch"", ""per_core_batch_size"": 32, ""univariate_flag"": true}","{""MASE"": 1.3494850371354592, ""WAPE"": 0.32780934677859574, ""WQL"": 0.26205002408509853}","{""model_name"": ""timesfm-3.0"", ""dataset_path"": ""autogluon/fev_datasets"", ""dataset_config"": ""ETT_1D"", ""horizon"": 28, ""num_windows"": 20, ""initial_cutoff"": -560, ""window_step_size"": 28, ""min_context_length"": 1, ""seasonality"": 7, ""eval_metric"": ""SQL"", ""id_column"": ""id"", ""timestamp_column"": ""timestamp"", ""task_name"": ""ETT_1D"", ""test_error"": 1.12167625240498, ""inference_time_s"": 3.9937944999837782, ""num_forecasts"": 280, ""dataset_fingerprint"": ""09165729d889736c"", ""trained_on_this_dataset"": false, ""fev_version"": ""0.10.0"", ""SQL"": 1.12167625240498, ""MASE"": 1.3494850371354592, ""WAPE"": 0.32780934677859574, ""WQL"": 0.26205002408509853}",2026-09-07T02:09:19.015657+00:00,28,20,7,724,2,7,0,0,True,False,False,0.038674
fev-bench,U,discovery,fevbench::ETT_1D::ETT_1D,ETT_1D,energy,D,daily_or_coarser,tirex-2,primary,recurrent_xlstm,05e5b26db52bfb256f1ae1bdf785589850482de3,OVERLAP_RISK_UNKNOWN,SQL,1.1227345858466071,0.8178158950209944,3.0,1.239585498106826,chronos-2,native_default,164,430,696,False,none,20,40,1.1227345965802669,9.56028243372438e-09,3.729865300032543,374.18701171875,OK,,,7,"{""entry_point"": ""tirex2.ForecastModel.forecast"", ""batch_size"": 256, ""native_pytorch_kernels"": true, ""point_forecast"": ""median quantile (model emits no separate mean)""}","{""MASE"": 1.3603870493415053, ""WAPE"": 0.34056210494197475, ""WQL"": 0.2721649557549669}","{""model_name"": ""tirex-2"", ""dataset_path"": ""autogluon/fev_datasets"", ""dataset_config"": ""ETT_1D"", ""horizon"": 28, ""num_windows"": 20, ""initial_cutoff"": -560, ""window_step_size"": 28, ""min_context_length"": 1, ""seasonality"": 7, ""eval_metric"": ""SQL"", ""id_column"": ""id"", ""timestamp_column"": ""timestamp"", ""task_name"": ""ETT_1D"", ""test_error"": 1.1227345858466071, ""inference_time_s"": 3.729865300032543, ""num_forecasts"": 280, ""dataset_fingerprint"": ""09165729d889736c"", ""trained_on_this_dataset"": false, ""fev_version"": ""0.10.0"", ""SQL"": 1.1227345858466071, ""MASE"": 1.3603870493415053, ""WAPE"": 0.34056210494197475, ""WQL"": 0.2721649557549669}",2026-09-07T02:04:40.488447+00:00,28,20,7,724,2,7,0,0,True,False,False,0.038674
fev-bench,U,discovery,fevbench::LOOP_SEATTLE_1D::LOOP_SEATTLE_1D,LOOP_SEATTLE_1D,mobility,D,daily_or_coarser,chronos-2,primary,transformer_encoder,29ec3766d36d6f73f0696f85560a422f50e8498c,OVERLAP_RISK_UNKNOWN,SQL,0.7754214314664746,0.7411999513672357,2.0,2.2040020918162284,timesfm-3.0,native_default,85,211,337,False,none,10,3230,0.7754214316514255,2.385166774401651e-10,1.7813779000134673,793.83740234375,OK,,,1,"{""entry_point"": ""Chronos2Pipeline.predict_quantiles"", ""batch_size"": 256, ""default_context_length"": 2048}","{""MASE"": 0.9534033821327158, ""WAPE"": 0.03609003181166684, ""WQL"": 0.02927153504882371}","{""model_name"": ""chronos-2"", ""dataset_path"": ""autogluon/fev_datasets"", ""dataset_config"": ""LOOP_SEATTLE_1D"", ""horizon"": 28, ""num_windows"": 10, ""initial_cutoff"": -280, ""window_step_size"": 28, ""min_context_length"": 1, ""seasonality"": 7, ""eval_metric"": ""SQL"", ""id_column"": ""id"", ""timestamp_column"": ""timestamp"", ""target"": ""target"", ""task_name"": ""LOOP_SEATTLE_1D"", ""test_error"": 0.7754214314664746, ""inference_time_s"": 1.7813779000134673, ""num_forecasts"": 3230, ""dataset_fingerprint"": ""d46589b2c9e45a4d"", ""trained_on_this_dataset"": false, ""fev_version"": ""0.10.0"", ""SQL"": 0.7754214314664746, ""MASE"": 0.9534033821327158, ""WAPE"": 0.03609003181166684, ""WQL"": 0.02927153504882371}",2026-09-07T02:03:01.054718+00:00,28,10,7,365,323,1,0,0,False,False,False,0.076712
fev-bench,U,discovery,fevbench::LOOP_SEATTLE_1D::LOOP_SEATTLE_1D,LOOP_SEATTLE_1D,mobility,D,daily_or_coarser,chronos-2-synth,diagnostic,transformer_encoder,3607918a9fd027d5c465d8213e46b98e2c041cea,SYNTH_ONLY_DIAGNOSTIC,SQL,0.7881454199054682,0.7533623952067661,4.0,3.8810805013924927,timesfm-3.0,native_default,85,211,337,False,none,10,3230,0.7881454197707191,1.7096984561877792e-10,1.8818981999938842,793.39892578125,OK,,,1,"{""entry_point"": ""Chronos2Pipeline.predict_quantiles"", ""batch_size"": 256, ""default_context_length"": 2048}","{""MASE"": 0.967878891617444, ""WAPE"": 0.03668938058617618, ""WQL"": 0.029824964516201757}","{""model_name"": ""chronos-2-synth"", ""dataset_path"": ""autogluon/fev_datasets"", ""dataset_config"": ""LOOP_SEATTLE_1D"", ""horizon"": 28, ""num_windows"": 10, ""initial_cutoff"": -280, ""window_step_size"": 28, ""min_context_length"": 1, ""seasonality"": 7, ""eval_metric"": ""SQL"", ""id_column"": ""id"", ""timestamp_column"": ""timestamp"", ""target"": ""target"", ""task_name"": ""LOOP_SEATTLE_1D"", ""test_error"": 0.7881454199054682, ""inference_time_s"": 1.8818981999938842, ""num_forecasts"": 3230, ""dataset_fingerprint"": ""d46589b2c9e45a4d"", ""trained_on_this_dataset"": false, ""fev_version"": ""0.10.0"", ""SQL"": 0.7881454199054682, ""MASE"": 0.967878891617444, ""WAPE"": 0.03668938058617618, ""WQL"": 0.029824964516201757}",2026-09-07T02:22:50.994568+00:00,28,10,7,365,323,1,0,0,False,False,False,0.076712
fev-bench,U,discovery,fevbench::LOOP_SEATTLE_1D::LOOP_SEATTLE_1D,LOOP_SEATTLE_1D,mobility,D,daily_or_coarser,linear-ar-specialist,baseline,baseline,,NOT_APPLICABLE,SQL,0.9954046352288783,0.9514746914165786,5.0,31.198769201847043,timesfm-3.0,native_default,85,211,337,False,none,10,3230,0.9954046347192935,5.119373576849057e-10,0.5610181999800261,,OK,,,1,"{""estimator"": ""linear_ar_specialist"", ""seasonality"": 7, ""ridge_alpha"": 1.0, ""fitted_on"": ""visible history of each series only""}","{""MASE"": 1.2434529378584822, ""WAPE"": 0.04699188796091248, ""WQL"": 0.037534530334745166}","{""model_name"": ""linear-ar-specialist"", ""dataset_path"": ""autogluon/fev_datasets"", ""dataset_config"": ""LOOP_SEATTLE_1D"", ""horizon"": 28, ""num_windows"": 10, ""initial_cutoff"": -280, ""window_step_size"": 28, ""min_context_length"": 1, ""seasonality"": 7, ""eval_metric"": ""SQL"", ""id_column"": ""id"", ""timestamp_column"": ""timestamp"", ""target"": ""target"", ""task_name"": ""LOOP_SEATTLE_1D"", ""test_error"": 0.9954046352288783, ""inference_time_s"": 0.5610181999800261, ""num_forecasts"": 3230, ""dataset_fingerprint"": ""d46589b2c9e45a4d"", ""trained_on_this_dataset"": true, ""fev_version"": ""0.10.0"", ""SQL"": 0.9954046352288783, ""MASE"": 1.2434529378584822, ""WAPE"": 0.04699188796091248, ""WQL"": 0.037534530334745166}",2026-09-07T02:31:25.869111+00:00,28,10,7,365,323,1,0,0,False,False,False,0.076712
fev-bench,U,discovery,fevbench::LOOP_SEATTLE_1D::LOOP_SEATTLE_1D,LOOP_SEATTLE_1D,mobility,D,daily_or_coarser,seasonal-naive,baseline,baseline,,NOT_APPLICABLE,SQL,1.046170375532423,1.0,6.0,37.88992012653025,timesfm-3.0,native_default,85,211,337,False,none,10,3230,1.0461703758675247,3.2031276356543557e-10,0.20386190002318472,,OK,,,1,"{""estimator"": ""seasonal_naive"", ""seasonality"": 7}","{""MASE"": 1.1753801193470779, ""WAPE"": 0.04456905942475443, ""WQL"": 0.03970585764549323}","{""model_name"": ""seasonal-naive"", ""dataset_path"": ""autogluon/fev_datasets"", ""dataset_config"": ""LOOP_SEATTLE_1D"", ""horizon"": 28, ""num_windows"": 10, ""initial_cutoff"": -280, ""window_step_size"": 28, ""min_context_length"": 1, ""seasonality"": 7, ""eval_metric"": ""SQL"", ""id_column"": ""id"", ""timestamp_column"": ""timestamp"", ""target"": ""target"", ""task_name"": ""LOOP_SEATTLE_1D"", ""test_error"": 1.046170375532423, ""inference_time_s"": 0.20386190002318472, ""num_forecasts"": 3230, ""dataset_fingerprint"": ""d46589b2c9e45a4d"", ""trained_on_this_dataset"": false, ""fev_version"": ""0.10.0"", ""SQL"": 1.046170375532423, ""MASE"": 1.1753801193470779, ""WAPE"": 0.04456905942475443, ""WQL"": 0.03970585764549323}",2026-09-07T02:24:51.220320+00:00,28,10,7,365,323,1,0,0,False,False,False,0.076712
fev-bench,U,discovery,fevbench::LOOP_SEATTLE_1D::LOOP_SEATTLE_1D,LOOP_SEATTLE_1D,mobility,D,daily_or_coarser,timesfm-3.0,primary,transformer_patch_variate,43046b85ec22d584a13f8098c2ed39c889e129c2,CLEAN_BY_OFFICIAL_EXCLUSION,SQL,0.7586996747640715,0.7252161717712087,1.0,0.0,timesfm-3.0,native_default,85,211,337,False,none,10,3230,0.7586996746598382,1.373841219839005e-10,15.247937200008892,1294.658203125,OK,,,1,"{""entry_point"": ""TimesFM3Evaluator.predict_batch"", ""per_core_batch_size"": 32, ""univariate_flag"": true}","{""MASE"": 0.9312832418586063, ""WAPE"": 0.035330928063230946, ""WQL"": 0.02872311419548774}","{""model_name"": ""timesfm-3.0"", ""dataset_path"": ""autogluon/fev_datasets"", ""dataset_config"": ""LOOP_SEATTLE_1D"", ""horizon"": 28, ""num_windows"": 10, ""initial_cutoff"": -280, ""window_step_size"": 28, ""min_context_length"": 1, ""seasonality"": 7, ""eval_metric"": ""SQL"", ""id_column"": ""id"", ""timestamp_column"": ""timestamp"", ""target"": ""target"", ""task_name"": ""LOOP_SEATTLE_1D"", ""test_error"": 0.7586996747640715, ""inference_time_s"": 15.247937200008892, ""num_forecasts"": 3230, ""dataset_fingerprint"": ""d46589b2c9e45a4d"", ""trained_on_this_dataset"": false, ""fev_version"": ""0.10.0"", ""SQL"": 0.7586996747640715, ""MASE"": 0.9312832418586063, ""WAPE"": 0.035330928063230946, ""WQL"": 0.02872311419548774}",2026-09-07T02:17:35.692447+00:00,28,10,7,365,323,1,0,0,False,False,False,0.076712
fev-bench,U,discovery,fevbench::LOOP_SEATTLE_1D::LOOP_SEATTLE_1D,LOOP_SEATTLE_1D,mobility,D,daily_or_coarser,tirex-2,primary,recurrent_xlstm,05e5b26db52bfb256f1ae1bdf785589850482de3,OVERLAP_RISK_UNKNOWN,SQL,0.7769945314094994,0.7427036260839128,3.0,2.41134367839513,timesfm-3.0,native_default,85,211,337,False,none,10,3230,0.7769945311518646,3.315786559185624e-10,13.914113499980886,1192.74560546875,OK,,,1,"{""entry_point"": ""tirex2.ForecastModel.forecast"", ""batch_size"": 256, ""native_pytorch_kernels"": true, ""point_forecast"": ""median quantile (model emits no separate mean)""}","{""MASE"": 0.9556586039055681, ""WAPE"": 0.03617683207861089, ""WQL"": 0.029349083060733593}","{""model_name"": ""tirex-2"", ""dataset_path"": ""autogluon/fev_datasets"", ""dataset_config"": ""LOOP_SEATTLE_1D"", ""horizon"": 28, ""num_windows"": 10, ""initial_cutoff"": -280, ""window_step_size"": 28, ""min_context_length"": 1, ""seasonality"": 7, ""eval_metric"": ""SQL"", ""id_column"": ""id"", ""timestamp_column"": ""timestamp"", ""target"": ""target"", ""task_name"": ""LOOP_SEATTLE_1D"", ""test_error"": 0.7769945314094994, ""inference_time_s"": 13.914113499980886, ""num_forecasts"": 3230, ""dataset_fingerprint"": ""d46589b2c9e45a4d"", ""trained_on_this_dataset"": false, ""fev_version"": ""0.10.0"", ""SQL"": 0.7769945314094994, ""MASE"": 0.9556586039055681, ""WAPE"": 0.03617683207861089, ""WQL"": 0.029349083060733593}",2026-09-07T02:05:41.745382+00:00,28,10,7,365,323,1,0,0,False,False,False,0.076712
